time;latitude;longitude;HSW
2022-12-18T06:00:00;-6.21;111.8;0.19
2022-12-18T06:00:00;-6.22;112.04;0.13
2022-12-18T06:00:00;-6.26;112.2;0.19
2022-12-18T06:00:00;-6.31;112.27;0.13
2022-12-18T12:00:00;-6.21;111.8;0.12
2022-12-18T12:00:00;-6.22;112.04;0.11
2022-12-18T12:00:00;-6.26;112.2;0.14
2022-12-18T12:00:00;-6.31;112.27;0.11
2022-12-18T18:00:00;-6.21;111.8;0.08
2022-12-18T18:00:00;-6.22;112.04;0.11
2022-12-18T18:00:00;-6.26;112.2;0.09
2022-12-18T18:00:00;-6.31;112.27;0.09
2022-12-19T00:00:00;-6.21;111.8;0.07
2022-12-19T00:00:00;-6.22;112.04;0.08
2022-12-19T00:00:00;-6.26;112.2;0.07
2022-12-19T00:00:00;-6.31;112.27;0.08
2022-12-19T06:00:00;-6.21;111.8;0.06
2022-12-19T06:00:00;-6.22;112.04;0.07
2022-12-19T06:00:00;-6.26;112.2;0.06
2022-12-19T06:00:00;-6.31;112.27;0.08
2022-12-19T12:00:00;-6.21;111.8;0.04
2022-12-19T12:00:00;-6.22;112.04;0.06
2022-12-19T12:00:00;-6.26;112.2;0.04
2022-12-19T12:00:00;-6.31;112.27;0.06
2022-12-19T18:00:00;-6.21;111.8;0.04
2022-12-19T18:00:00;-6.22;112.04;0.04
2022-12-19T18:00:00;-6.26;112.2;0.04
2022-12-19T18:00:00;-6.31;112.27;0.04
2022-12-20T00:00:00;-6.21;111.8;0.03
2022-12-20T00:00:00;-6.22;112.04;0.08
2022-12-20T00:00:00;-6.26;112.2;0.14
2022-12-20T00:00:00;-6.31;112.27;0.09
2022-12-20T06:00:00;-6.21;111.8;0.03
2022-12-20T06:00:00;-6.22;112.04;0.04
2022-12-20T06:00:00;-6.26;112.2;0.11
2022-12-20T06:00:00;-6.31;112.27;0.08
2022-12-20T12:00:00;-6.21;111.8;0.02
2022-12-20T12:00:00;-6.22;112.04;0.03
2022-12-20T12:00:00;-6.26;112.2;0.07
2022-12-20T12:00:00;-6.31;112.27;0.06
2022-12-20T18:00:00;-6.21;111.8;0.03
2022-12-20T18:00:00;-6.22;112.04;0.02
2022-12-20T18:00:00;-6.26;112.2;0.04
2022-12-20T18:00:00;-6.31;112.27;0.04
2022-12-21T00:00:00;-6.21;111.8;0.06
2022-12-21T00:00:00;-6.22;112.04;0.12
2022-12-21T00:00:00;-6.26;112.2;0.22
2022-12-21T00:00:00;-6.31;112.27;0.17
2022-12-21T06:00:00;-6.21;111.8;0.26
2022-12-21T06:00:00;-6.22;112.04;0.24
2022-12-21T06:00:00;-6.26;112.2;0.31
2022-12-21T06:00:00;-6.31;112.27;0.28
2022-12-21T12:00:00;-6.21;111.8;0.63
2022-12-21T12:00:00;-6.22;112.04;0.53
2022-12-21T12:00:00;-6.26;112.2;0.57
2022-12-21T12:00:00;-6.31;112.27;0.53
2022-12-21T18:00:00;-6.21;111.8;0.5
2022-12-21T18:00:00;-6.22;112.04;0.7
2022-12-21T18:00:00;-6.26;112.2;0.59
2022-12-21T18:00:00;-6.31;112.27;0.55
2022-12-22T00:00:00;-6.21;111.8;0.7
2022-12-22T00:00:00;-6.22;112.04;0.85
2022-12-22T00:00:00;-6.26;112.2;0.7
2022-12-22T00:00:00;-6.31;112.27;0.96
2022-12-22T06:00:00;-6.21;111.8;0.81
2022-12-22T06:00:00;-6.22;112.04;0.96
2022-12-22T06:00:00;-6.26;112.2;0.96
2022-12-22T06:00:00;-6.31;112.27;1.05
2022-12-22T12:00:00;-6.21;111.8;0.98
2022-12-22T12:00:00;-6.22;112.04;1.12
2022-12-22T12:00:00;-6.26;112.2;1.07
2022-12-22T12:00:00;-6.31;112.27;1.09
2022-12-22T18:00:00;-6.21;111.8;1.06
2022-12-22T18:00:00;-6.22;112.04;1.29
2022-12-22T18:00:00;-6.26;112.2;1.37
2022-12-22T18:00:00;-6.31;112.27;1.42
2022-12-23T00:00:00;-6.21;111.8;1.96
2022-12-23T00:00:00;-6.22;112.04;1.74
2022-12-23T00:00:00;-6.26;112.2;2.18
2022-12-23T00:00:00;-6.31;112.27;2.11
2022-12-23T06:00:00;-6.21;111.8;2.33
2022-12-23T06:00:00;-6.22;112.04;2.54
2022-12-23T06:00:00;-6.26;112.2;2.55
2022-12-23T06:00:00;-6.31;112.27;2.57
2022-12-23T12:00:00;-6.21;111.8;2.6
2022-12-23T12:00:00;-6.22;112.04;2.77
2022-12-23T12:00:00;-6.26;112.2;2.87
2022-12-23T12:00:00;-6.31;112.27;2.87
2022-12-23T18:00:00;-6.21;111.8;2.74
2022-12-23T18:00:00;-6.22;112.04;2.91
2022-12-23T18:00:00;-6.26;112.2;2.99
2022-12-23T18:00:00;-6.31;112.27;3.06
2022-12-24T00:00:00;-6.21;111.8;2.40
2022-12-24T00:00:00;-6.22;112.04;2.71
2022-12-24T00:00:00;-6.26;112.2;2.48
2022-12-24T00:00:00;-6.31;112.27;2.49
2022-12-24T06:00:00;-6.21;111.8;1.73
2022-12-24T06:00:00;-6.22;112.04;1.93
2022-12-24T06:00:00;-6.26;112.2;2.0
2022-12-24T06:00:00;-6.31;112.27;2.01
2022-12-24T12:00:00;-6.21;111.8;1.56
2022-12-24T12:00:00;-6.22;112.04;1.61
2022-12-24T12:00:00;-6.26;112.2;1.77
2022-12-24T12:00:00;-6.31;112.27;1.76
2022-12-24T18:00:00;-6.21;111.8;1.52
2022-12-24T18:00:00;-6.22;112.04;1.67
2022-12-24T18:00:00;-6.26;112.2;1.68
2022-12-24T18:00:00;-6.31;112.27;1.68
2022-12-25T00:00:00;-6.21;111.8;1.56
2022-12-25T00:00:00;-6.22;112.04;1.76
2022-12-25T00:00:00;-6.26;112.2;1.76
2022-12-25T00:00:00;-6.31;112.27;1.74
2022-12-25T06:00:00;-6.21;111.8;1.77
2022-12-25T06:00:00;-6.22;112.04;1.94
2022-12-25T06:00:00;-6.26;112.2;1.94
2022-12-25T06:00:00;-6.31;112.27;1.95
2022-12-25T12:00:00;-6.21;111.8;1.86
2022-12-25T12:00:00;-6.22;112.04;1.99
2022-12-25T12:00:00;-6.26;112.2;2.05
2022-12-25T12:00:00;-6.31;112.27;2.12
2022-12-25T18:00:00;-6.21;111.8;1.62
2022-12-25T18:00:00;-6.22;112.04;1.84
2022-12-25T18:00:00;-6.26;112.2;1.79
2022-12-25T18:00:00;-6.31;112.27;1.97
2022-12-26T00:00:00;-6.21;111.8;1.49
2022-12-26T00:00:00;-6.22;112.04;1.68
2022-12-26T00:00:00;-6.26;112.2;1.64
2022-12-26T00:00:00;-6.31;112.27;1.74
2022-12-26T06:00:00;-6.21;111.8;1.62
2022-12-26T06:00:00;-6.22;112.04;1.73
2022-12-26T06:00:00;-6.26;112.2;1.73
2022-12-26T06:00:00;-6.31;112.27;1.70
2022-12-26T12:00:00;-6.21;111.8;1.63
2022-12-26T12:00:00;-6.22;112.04;1.73
2022-12-26T12:00:00;-6.26;112.2;1.71
2022-12-26T12:00:00;-6.31;112.27;1.67
2022-12-26T18:00:00;-6.21;111.8;1.52
2022-12-26T18:00:00;-6.22;112.04;1.68
2022-12-26T18:00:00;-6.26;112.2;1.57
2022-12-26T18:00:00;-6.31;112.27;1.56
2022-12-27T00:00:00;-6.21;111.8;1.54
2022-12-27T00:00:00;-6.22;112.04;1.67
2022-12-27T00:00:00;-6.26;112.2;1.69
2022-12-27T00:00:00;-6.31;112.27;1.65
2022-12-27T06:00:00;-6.21;111.8;1.58
2022-12-27T06:00:00;-6.22;112.04;1.65
2022-12-27T06:00:00;-6.26;112.2;1.94
2022-12-27T06:00:00;-6.31;112.27;1.86
2022-12-27T12:00:00;-6.21;111.8;1.93
2022-12-27T12:00:00;-6.22;112.04;1.93
2022-12-27T12:00:00;-6.26;112.2;2.15
2022-12-27T12:00:00;-6.31;112.27;2.13
2022-12-27T18:00:00;-6.21;111.8;1.43
2022-12-27T18:00:00;-6.22;112.04;1.58
2022-12-27T18:00:00;-6.26;112.2;1.79
2022-12-27T18:00:00;-6.31;112.27;1.76
2022-12-28T00:00:00;-6.21;111.8;1.13
2022-12-28T00:00:00;-6.22;112.04;1.25
2022-12-28T00:00:00;-6.26;112.2;1.58
2022-12-28T00:00:00;-6.31;112.27;1.59
2022-12-28T06:00:00;-6.21;111.8;1.39
2022-12-28T06:00:00;-6.22;112.04;1.44
2022-12-28T06:00:00;-6.26;112.2;1.56
2022-12-28T06:00:00;-6.31;112.27;1.56
2022-12-28T12:00:00;-6.21;111.8;1.77
2022-12-28T12:00:00;-6.22;112.04;1.81
2022-12-28T12:00:00;-6.26;112.2;1.81
